companyId,companyName,companyUrl,location,sector
19031767.0,Hayden AI,https://www.linkedin.com/company/haydenaitech?trk=public_jobs_topcard-org-name,"San Francisco, CA",Software Development
9215489.0,Saragossa,https://uk.linkedin.com/company/saragossa?trk=public_jobs_topcard-org-name,"New York, United States",Financial Services
2139901.0,Everlaw,https://www.linkedin.com/company/everlaw?trk=public_jobs_topcard-org-name,"Oakland, CA",Software Development
2380.0,United Airlines,https://www.linkedin.com/company/united-airlines?trk=public_jobs_topcard-org-name,"Chicago, IL",Airlines and Aviation
1167899.0,Double Good,https://www.linkedin.com/company/doublegood?trk=public_jobs_topcard-org-name,"Chicago, IL","Technology, Information and Internet"
10801123.0,M Science,https://www.linkedin.com/company/m-science-llc?trk=public_jobs_topcard-org-name,New York City Metropolitan Area,Financial Services and Market Research
6125149.0,Verition Fund Management LLC,https://www.linkedin.com/company/verition?trk=public_jobs_topcard-org-name,"New York, NY",Software Development
3255717.0,Distributor Wire & Cable,https://www.linkedin.com/company/distributor-wire-cable?trk=public_jobs_topcard-org-name,"Aurora, CO",Internet Publishing
164518.0,Jackson,https://www.linkedin.com/company/jackson?trk=public_jobs_topcard-org-name,"Nashville, TN",Financial Services and Insurance
2646.0,Walmart,https://www.linkedin.com/company/walmart?trk=public_jobs_topcard-org-name,"Sunnyvale, CA",Retail
93109232.0,Guac,https://www.linkedin.com/company/guac-ai?trk=public_jobs_topcard-org-name,"New York, NY",Software Development
33246798.0,TikTok,https://www.linkedin.com/company/tiktok?trk=public_jobs_topcard-org-name,"San Jose, CA",Entertainment Providers
20922.0,National Audubon Society,https://www.linkedin.com/company/national-audubon-society?trk=public_jobs_topcard-org-name,"New York, NY","Non-profit Organizations, Political Organizations, and Veterinary Services"
72048424.0,Forian Inc.,https://www.linkedin.com/company/forianinc?trk=public_jobs_topcard-org-name,United States,"Data Infrastructure and Analytics, Financial Services, and Hospitals and Health Care"
18503560.0,TechMasters,https://il.linkedin.com/company/tech-masters-il?trk=public_jobs_topcard-org-name,"South San Francisco, CA",Software Development
36094.0,GAINS,https://www.linkedin.com/company/gainsystems?trk=public_jobs_topcard-org-name,"Atlanta, GA",Internet Publishing
1035.0,Microsoft,https://www.linkedin.com/company/microsoft?trk=public_jobs_topcard-org-name,"Redmond, WA",Software Development
4030.0,Bose Corporation,https://www.linkedin.com/company/bose-corporation?trk=public_jobs_topcard-org-name,"Framingham, MA",Computers and Electronics Manufacturing and Motor Vehicle Manufacturing
52160608.0,Whatnot,https://www.linkedin.com/company/whatnot-inc?trk=public_jobs_topcard-org-name,Los Angeles Metropolitan Area,"Technology, Information and Internet"
26793.0,Apexon,https://www.linkedin.com/company/apexon?trk=public_jobs_topcard-org-name,"Dallas, TX",IT Services and IT Consulting
3876753.0,PILYTIX,https://www.linkedin.com/company/pilytix?trk=public_jobs_topcard-org-name,"Austin, TX",IT Services and IT Consulting
401618.0,Premier Group,https://uk.linkedin.com/company/premier-group-recruitment?trk=public_jobs_topcard-org-name,United States,Software Development and Manufacturing
74615750.0,Imprint,https://www.linkedin.com/company/imprint-payments?trk=public_jobs_topcard-org-name,"New York, NY",Financial Services
1283.0,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_topcard-org-name,"Texas, United States",IT Services and IT Consulting
5279801.0,Bose Professional,https://www.linkedin.com/company/bose-professional?trk=public_jobs_topcard-org-name,"Hopkinton, MA",Internet Publishing
